,Total # of actions,# of actions w/o dead ends,# of corridor actions,# of node actions,corridor actions,node actions,consecutive turns,% of each corridor action,% of each node action,% of consecutive turn intervals,total # of unique nodes visisted,# of visits for each visited node,water_reached,total # of unique nodes visisted before water,# of visits for each visited node before water
24,15,15,9,6,"{'straight': 8, 'turn around': 1}","{'left turn': 2, 'right turn': 3, 'straight through node': 1, 'node turn around': 0}",{0: 1},"{'straight': 88.89, 'turn around': 11.11}","{'left turn': 33.33, 'right turn': 50.0, 'straight through node': 16.67, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
25,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
26,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
27,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
28,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
29,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
30,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
31,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
32,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
33,13,13,8,5,"{'straight': 8, 'turn around': 0}","{'left turn': 3, 'right turn': 2, 'straight through node': 0, 'node turn around': 0}",{0: 1},"{'straight': 100.0, 'turn around': 0.0}","{'left turn': 60.0, 'right turn': 40.0, 'straight through node': 0.0, 'node turn around': 0.0}",{0: 100.0},6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64",True,6,"0      0.0
1      0.0
2      1.0
3      0.0
4      0.0
      ... 
122    0.0
123    0.0
124    0.0
125    0.0
126    0.0
Length: 127, dtype: float64"
